Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-03-10,Taxes - Business Tax Refunds (Checks),null,1275,3430,40566,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,10
2026-03-10,Taxes - Business Tax Refunds (EFT),null,95,235,12734,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,10
2026-03-10,Taxes - Individual Tax Refunds (Checks),null,61,965,19255,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,10
2026-03-10,Taxes - Individual Tax Refunds (EFT),null,1846,33126,163594,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,10
2026-03-09,Taxes - Business Tax Refunds (Checks),null,19,2155,39291,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,09
2026-03-09,Taxes - Business Tax Refunds (EFT),null,7,140,12639,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,09
2026-03-09,Taxes - Individual Tax Refunds (Checks),null,38,905,19194,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,09
2026-03-09,Taxes - Individual Tax Refunds (EFT),null,3072,31280,161748,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,09
2026-03-06,Taxes - Business Tax Refunds (Checks),null,169,2136,39272,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,06
2026-03-06,Taxes - Business Tax Refunds (EFT),null,-4,133,12632,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,06
2026-03-06,Taxes - Individual Tax Refunds (Checks),null,645,866,19155,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,06
2026-03-06,Taxes - Individual Tax Refunds (EFT),null,3650,28209,158676,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,06
2026-03-05,Taxes - Business Tax Refunds (Checks),null,24,1967,39104,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,05
2026-03-05,Taxes - Business Tax Refunds (EFT),null,76,137,12636,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,05
2026-03-05,Taxes - Individual Tax Refunds (Checks),null,61,221,18510,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,05
2026-03-05,Taxes - Individual Tax Refunds (EFT),null,1937,24559,155027,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,05
2026-03-04,Taxes - Business Tax Refunds (Checks),null,2,1944,39080,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,04
2026-03-04,Taxes - Business Tax Refunds (EFT),null,49,61,12560,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,04
2026-03-04,Taxes - Individual Tax Refunds (Checks),null,51,160,18449,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,04
2026-03-04,Taxes - Individual Tax Refunds (EFT),null,15549,22622,153090,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,04
2026-03-03,Taxes - Business Tax Refunds (Checks),null,1919,1942,39078,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,03
2026-03-03,Taxes - Business Tax Refunds (EFT),null,12,12,12512,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,03
2026-03-03,Taxes - Individual Tax Refunds (Checks),null,86,109,18398,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,03
2026-03-03,Taxes - Individual Tax Refunds (EFT),null,3291,7074,137541,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,03
2026-03-02,Taxes - Business Tax Refunds (Checks),null,22,22,37159,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,02
2026-03-02,Taxes - Business Tax Refunds (EFT),null,0,0,12500,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,02
2026-03-02,Taxes - Individual Tax Refunds (Checks),null,23,23,18312,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,02
2026-03-02,Taxes - Individual Tax Refunds (EFT),null,3783,3783,134250,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,02
2026-02-27,Taxes - Business Tax Refunds (Checks),null,15,8364,37136,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,02,27
2026-02-27,Taxes - Business Tax Refunds (EFT),null,115,5025,12499,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,02,27
2026-02-27,Taxes - Individual Tax Refunds (Checks),null,651,3628,18289,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,02,27
2026-02-27,Taxes - Individual Tax Refunds (EFT),null,2321,111757,130467,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,02,27
2026-02-26,Taxes - Business Tax Refunds (Checks),null,30,8349,37121,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,02,26
2026-02-26,Taxes - Business Tax Refunds (EFT),null,11,4909,12384,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,02,26
2026-02-26,Taxes - Individual Tax Refunds (Checks),null,129,2977,17638,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,02,26
2026-02-26,Taxes - Individual Tax Refunds (EFT),null,2110,109436,128146,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,02,26
2026-02-25,Taxes - Business Tax Refunds (Checks),null,3,8318,37091,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,02,25
2026-02-25,Taxes - Business Tax Refunds (EFT),null,831,4899,12373,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,02,25
2026-02-25,Taxes - Individual Tax Refunds (Checks),null,207,2848,17509,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,02,25
2026-02-25,Taxes - Individual Tax Refunds (EFT),null,32304,107326,126036,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,02,25
2026-02-24,Taxes - Business Tax Refunds (Checks),null,3100,8315,37088,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,02,24
