mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,imp,-47.95034296291801,8.9320311091419,-48.147318448719034,7.466507306629185,0.016040100250626566,3
RTY,xmk,-24.345301508407815,21.75921769206454,-24.126873246925495,24.089261844955356,0.03961584633853541,5
RTY,cal,5.8461463908541225,-13.789977242267696,8.330767865215494,-5.463767878465399,-1.0,9
RTY,vwr,-16.842811966418274,-71.59339135199895,-16.81940893840231,-72.41168066759751,0.11942959001782531,5
RTY,orb,-1.7665675134216434,-1.3925270136248526,-1.7670550765053092,-1.4341349449264746,0.13253012048192772,8
RTY,rnd,-6.513679519952149,-17.326128270562126,-2.99883724980476,-5.93480130087369,-1.0,8
RTY,imp,-80.80618538857874,-58.12494524288594,-80.59165763176574,-57.1633397194707,-0.0734779566130161,2
RTY,rev,-28.147231113454826,-167.8920039522754,-28.4719481271763,-172.35329880850486,0.04784180310440145,4
RTY,orb,-6.071268862648442,-8.833061245278866,-5.831387825484828,-7.312060201030693,0.03349282296650718,7
RTY,vwr,-74.81922464195999,-175.4896028619412,-74.83823960222296,-175.6837732080154,0.04066161268090972,2
RTY,gap,-7.06709088913748,-15.801622056955264,-7.009558445264905,-16.28704792214085,0.0,7
RTY,imp,-17.766839868774916,-91.21899975980469,-17.59863060491018,-92.03728907540324,0.020483032711708957,5
RTY,rnd,-40.8714226534217,28.396577568945798,-37.900213221561785,37.32379038488262,-1.0,3
RTY,gap,9.641043326873882,-10.039438543885192,9.603013406347944,-9.124064055249512,-0.013157894736842105,9
RTY,cal,-3.589605579919773,17.878294264290545,-8.040568970705678,4.295616246050039,1.0,7
