,pnl
2026-06-10 20:54:01.262257363+00:00,102.0
2026-06-11 15:23:00.070541991+00:00,-160.0
2026-06-12 13:54:00.077267905+00:00,199.0
2026-06-12 18:33:00.257545331+00:00,153.5
2026-06-15 14:02:00.185496171+00:00,40.0
2026-06-15 17:32:00.154448395+00:00,-5.0
2026-06-16 13:56:00.964869007+00:00,-129.5
2026-06-16 14:38:00.141713765+00:00,-117.5
2026-06-16 14:54:00.770303619+00:00,44.0
2026-06-16 15:10:00.500297205+00:00,-10.5
2026-06-16 15:27:00.284636651+00:00,234.5
2026-06-16 16:08:00.255052905+00:00,-124.5
2026-06-16 16:24:02.762472745+00:00,-50.5
2026-06-16 16:50:00.241509701+00:00,-56.0
2026-06-16 17:12:00.836119093+00:00,-19.5
2026-06-16 17:31:02.198810729+00:00,61.0
2026-06-16 17:53:00.122583449+00:00,-143.0
2026-06-16 18:14:06.679889341+00:00,-8.0
2026-06-16 18:30:00.242349231+00:00,3.0
2026-06-16 18:46:00.702225791+00:00,6.5
2026-06-16 19:02:00.973648411+00:00,30.0
2026-06-16 19:18:00.935029727+00:00,137.5
2026-06-16 19:34:03.638037723+00:00,137.5
2026-06-16 20:00:00.065975723+00:00,204.0
2026-06-16 20:16:01.337853783+00:00,34.0
2026-06-16 20:41:47.426736395+00:00,-3.5
2026-06-17 14:12:00.938160323+00:00,-37.0
2026-06-17 17:25:04.615159287+00:00,52.5
2026-06-17 17:46:02.258677627+00:00,1.5
2026-06-17 18:18:04.180973085+00:00,-123.5
2026-06-17 18:41:03.389673709+00:00,-366.0
2026-06-17 19:15:01.994534679+00:00,166.5
2026-06-17 19:52:01.803189701+00:00,311.5
2026-06-17 20:27:03.310719655+00:00,-168.5
2026-06-29 13:52:00.078618063+00:00,-252.5
2026-06-29 14:09:00.094258641+00:00,634.0
2026-06-29 14:25:00.078741171+00:00,-199.5
2026-06-30 13:52:00.081595735+00:00,128.5
2026-06-30 14:08:00.065226375+00:00,-77.0
2026-07-01 13:58:00.114636001+00:00,132.0
2026-07-01 17:54:00.069610559+00:00,-14.5
2026-07-01 18:38:00.074708637+00:00,-22.0
2026-07-01 19:22:00.149386957+00:00,3.0
2026-07-01 19:59:00.066252325+00:00,132.0
2026-07-02 13:57:00.075958377+00:00,162.0
2026-07-02 15:26:00.067915189+00:00,40.0
2026-07-02 15:42:00.082104043+00:00,-123.0
2026-07-02 16:36:00.089671465+00:00,124.5
2026-07-02 16:53:00.115082959+00:00,130.0
2026-07-02 17:22:00.086441741+00:00,1.0
2026-07-02 18:12:00.138859053+00:00,-239.0
2026-07-02 18:28:00.101036163+00:00,39.0
2026-07-02 19:30:00.071158275+00:00,-21.0
2026-07-02 19:48:00.066290877+00:00,-0.5
2026-07-02 20:04:00.066558431+00:00,-207.5
2026-07-02 20:39:00.069984103+00:00,-10.0
2026-07-03 14:26:00.126674565+00:00,-21.0
