name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
SEASMF_5min_trail2.0h12_rth,SEASMF,5min,400,2.6,-2.8,-42.9,-221.0,-3268.0,16.2
SEASMF_5min_trail3.5h0_all,SEASMF,5min,287,1.8,-28.5,-42.7,-2280.0,-3255.0,32.8
SEASMF_5min_trail3.5h0_rth,SEASMF,5min,287,1.8,-28.5,-42.7,-2280.0,-3255.0,32.8
SEASMF_5min_trail3.5h12_all,SEASMF,5min,398,2.5,-9.3,-42.6,-748.0,-3241.0,11.6
SEASMF_5min_trail3.5h12_rth,SEASMF,5min,398,2.5,-9.3,-42.6,-748.0,-3241.0,11.6
RETEST_15min_time20h0_all,RETEST,15min,753,4.8,13.2,16.9,1054.0,1286.0,52.7
RETEST_15min_time20h0_rth,RETEST,15min,371,2.4,-18.6,22.6,-1489.0,1720.0,54.7
RETEST_15min_time20h12_all,RETEST,15min,1513,9.7,-13.6,-8.3,-1090.0,-631.0,13.2
RETEST_15min_time20h12_rth,RETEST,15min,761,4.9,0.5,-9.4,38.0,-715.0,11.4
RETEST_15min_time60h0_all,RETEST,15min,477,3.1,79.4,17.7,6355.0,1348.0,55.6
RETEST_15min_time60h0_rth,RETEST,15min,335,2.1,35.3,35.2,2821.0,2684.0,54.6
RETEST_15min_time60h12_all,RETEST,15min,1417,9.1,11.4,-38.3,914.0,-2917.0,7.4
RETEST_15min_time60h12_rth,RETEST,15min,760,4.9,9.2,-12.3,735.0,-936.0,8.4
RETEST_15min_time120h0_all,RETEST,15min,315,2.0,126.0,66.5,10078.0,5065.0,56.8
RETEST_15min_time120h0_rth,RETEST,15min,225,1.4,93.1,67.1,7447.0,5108.0,61.3
RETEST_15min_time120h12_all,RETEST,15min,1273,8.2,32.1,-26.1,2569.0,-1985.0,5.2
RETEST_15min_time120h12_rth,RETEST,15min,677,4.3,17.6,0.9,1412.0,70.0,5.6
RETEST_15min_trail2.0h0_all,RETEST,15min,1123,7.2,-103.2,-66.2,-8255.0,-5044.0,35.7
RETEST_15min_trail2.0h0_rth,RETEST,15min,558,3.6,-81.1,-31.0,-6490.0,-2358.0,34.9
RETEST_15min_trail2.0h12_all,RETEST,15min,1570,10.1,-76.3,-74.0,-6106.0,-5633.0,17.2
RETEST_15min_trail2.0h12_rth,RETEST,15min,769,4.9,-35.6,-43.4,-2851.0,-3307.0,14.3
RETEST_15min_trail3.5h0_all,RETEST,15min,722,4.6,-24.0,-27.1,-1918.0,-2067.0,40.2
RETEST_15min_trail3.5h0_rth,RETEST,15min,402,2.6,-16.8,31.2,-1340.0,2377.0,44.3
RETEST_15min_trail3.5h12_all,RETEST,15min,1472,9.4,-36.0,-54.2,-2877.0,-4128.0,12.6
RETEST_15min_trail3.5h12_rth,RETEST,15min,761,4.9,-11.6,-24.7,-932.0,-1882.0,11.4
SPIKEF_15min_time20h0_all,SPIKEF,15min,415,2.7,-11.4,-137.3,-908.0,-10452.0,44.6
SPIKEF_15min_time20h0_rth,SPIKEF,15min,235,1.5,-44.0,-138.3,-3519.0,-10528.0,38.7
SPIKEF_15min_time20h12_all,SPIKEF,15min,526,3.4,22.6,-23.1,1812.0,-1759.0,9.3
SPIKEF_15min_time20h12_rth,SPIKEF,15min,304,1.9,12.3,-33.7,982.0,-2564.0,6.9
SPIKEF_15min_time60h0_all,SPIKEF,15min,352,2.3,18.2,-187.0,1454.0,-14242.0,49.1
SPIKEF_15min_time60h0_rth,SPIKEF,15min,232,1.5,-43.7,-157.8,-3500.0,-12017.0,45.7
SPIKEF_15min_time60h12_all,SPIKEF,15min,517,3.3,34.7,12.2,2780.0,927.0,7.2
SPIKEF_15min_time60h12_rth,SPIKEF,15min,304,1.9,4.1,-28.7,329.0,-2189.0,5.6
SPIKEF_15min_time120h0_all,SPIKEF,15min,261,1.7,-31.8,72.8,-2545.0,5546.0,51.7
SPIKEF_15min_time120h0_rth,SPIKEF,15min,185,1.2,-70.9,52.4,-5672.0,3989.0,46.5
SPIKEF_15min_time120h12_all,SPIKEF,15min,495,3.2,10.6,-8.5,844.0,-647.0,4.8
SPIKEF_15min_time120h12_rth,SPIKEF,15min,293,1.9,-4.7,-35.8,-373.0,-2723.0,3.4
SPIKEF_15min_trail2.0h0_all,SPIKEF,15min,504,3.2,-93.2,-111.2,-7453.0,-8468.0,29.2
SPIKEF_15min_trail2.0h0_rth,SPIKEF,15min,295,1.9,-72.5,-93.0,-5801.0,-7079.0,26.4
SPIKEF_15min_trail2.0h12_all,SPIKEF,15min,537,3.4,-42.7,-41.2,-3415.0,-3134.0,13.2
SPIKEF_15min_trail2.0h12_rth,SPIKEF,15min,310,2.0,-27.4,-37.3,-2189.0,-2838.0,9.0
SPIKEF_15min_trail3.5h0_all,SPIKEF,15min,440,2.8,-40.0,-130.8,-3197.0,-9958.0,33.4
SPIKEF_15min_trail3.5h0_rth,SPIKEF,15min,255,1.6,-61.8,-111.2,-4940.0,-8466.0,33.3
SPIKEF_15min_trail3.5h12_all,SPIKEF,15min,528,3.4,5.5,-27.2,436.0,-2070.0,9.3
SPIKEF_15min_trail3.5h12_rth,SPIKEF,15min,305,2.0,2.0,-34.0,156.0,-2587.0,6.9
