name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
MOM_i3.0_w3_s12.0_t35.0_htf0,momentum,3.0,3,12.0,35.0,0,9897,143.4,34.7,-519.7,-3.62,36747.0,-14.33
MOM_i3.0_w3_s12.0_t35.0_htf30,momentum,3.0,3,12.0,35.0,30,8014,116.1,35.2,-391.5,-3.37,27491.0,-15.3
MOM_i3.0_w3_s12.0_t35.0_htf60,momentum,3.0,3,12.0,35.0,60,7738,112.1,35.8,-352.5,-3.14,24912.0,-14.63
MOM_i3.0_w3_s12.0_t50.0_htf0,momentum,3.0,3,12.0,50.0,0,9399,136.2,33.7,-505.3,-3.71,35774.0,-13.11
MOM_i3.0_w3_s12.0_t50.0_htf30,momentum,3.0,3,12.0,50.0,30,7684,111.4,34.3,-393.3,-3.53,27851.0,-14.11
MOM_i3.0_w3_s12.0_t50.0_htf60,momentum,3.0,3,12.0,50.0,60,7396,107.2,35.2,-330.4,-3.08,23471.0,-13.58
MOM_i3.0_w3_s18.0_t12.0_htf0,momentum,3.0,3,18.0,12.0,0,11398,165.2,52.9,-558.0,-3.38,38868.0,-15.97
MOM_i3.0_w3_s18.0_t12.0_htf30,momentum,3.0,3,18.0,12.0,30,9370,135.8,52.3,-452.8,-3.33,31265.0,-19.1
MOM_i3.0_w3_s18.0_t12.0_htf60,momentum,3.0,3,18.0,12.0,60,9046,131.1,53.1,-390.5,-2.98,27029.0,-18.2
MOM_i3.0_w3_s18.0_t20.0_htf0,momentum,3.0,3,18.0,20.0,0,9682,140.3,45.8,-426.3,-3.04,29862.0,-13.33
MOM_i3.0_w3_s18.0_t20.0_htf30,momentum,3.0,3,18.0,20.0,30,8028,116.3,45.4,-343.9,-2.96,23773.0,-13.21
MOM_i3.0_w3_s18.0_t20.0_htf60,momentum,3.0,3,18.0,20.0,60,7815,113.3,46.2,-298.5,-2.64,20701.0,-15.32
MOM_i3.0_w3_s18.0_t35.0_htf0,momentum,3.0,3,18.0,35.0,0,8415,122.0,41.6,-375.4,-3.08,26475.0,-11.63
MOM_i3.0_w3_s18.0_t35.0_htf30,momentum,3.0,3,18.0,35.0,30,7125,103.3,41.0,-352.8,-3.42,24732.0,-12.91
MOM_i3.0_w3_s18.0_t35.0_htf60,momentum,3.0,3,18.0,35.0,60,6871,99.6,42.3,-263.5,-2.65,18639.0,-12.36
MOM_i3.0_w3_s18.0_t50.0_htf0,momentum,3.0,3,18.0,50.0,0,7998,115.9,40.2,-380.7,-3.28,27076.0,-11.48
MOM_i3.0_w3_s18.0_t50.0_htf30,momentum,3.0,3,18.0,50.0,30,6813,98.7,40.2,-319.9,-3.24,22591.0,-11.96
MOM_i3.0_w3_s18.0_t50.0_htf60,momentum,3.0,3,18.0,50.0,60,6553,95.0,41.5,-241.8,-2.55,17391.0,-10.75
MOM_i3.0_w3_s25.0_t12.0_htf0,momentum,3.0,3,25.0,12.0,0,10232,148.3,56.4,-455.3,-3.07,31785.0,-13.8
MOM_i3.0_w3_s25.0_t12.0_htf30,momentum,3.0,3,25.0,12.0,30,8686,125.9,56.0,-367.4,-2.92,25498.0,-15.64
MOM_i3.0_w3_s25.0_t12.0_htf60,momentum,3.0,3,25.0,12.0,60,8435,122.2,56.5,-338.2,-2.77,23414.0,-14.91
MOM_i3.0_w3_s25.0_t20.0_htf0,momentum,3.0,3,25.0,20.0,0,8686,125.9,49.8,-317.4,-2.52,22293.0,-12.31
MOM_i3.0_w3_s25.0_t20.0_htf30,momentum,3.0,3,25.0,20.0,30,7436,107.8,49.4,-225.8,-2.09,15804.0,-9.09
MOM_i3.0_w3_s25.0_t20.0_htf60,momentum,3.0,3,25.0,20.0,60,7255,105.1,49.6,-249.5,-2.37,17440.0,-11.92
MOM_i3.0_w3_s25.0_t35.0_htf0,momentum,3.0,3,25.0,35.0,0,7687,111.4,44.7,-311.3,-2.79,22014.0,-11.11
MOM_i3.0_w3_s25.0_t35.0_htf30,momentum,3.0,3,25.0,35.0,30,6587,95.5,44.6,-227.6,-2.38,16219.0,-8.91
MOM_i3.0_w3_s25.0_t35.0_htf60,momentum,3.0,3,25.0,35.0,60,6420,93.0,45.4,-224.6,-2.41,16286.0,-9.19
MOM_i3.0_w3_s25.0_t50.0_htf0,momentum,3.0,3,25.0,50.0,0,7285,105.6,43.6,-273.9,-2.59,20109.0,-8.4
MOM_i3.0_w3_s25.0_t50.0_htf30,momentum,3.0,3,25.0,50.0,30,6316,91.5,43.6,-215.0,-2.35,15871.0,-8.68
